"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2020","1,704.23","1,704.34","1,721.43","1,700.88","2.24B","-0.22%"
"Oct 27, 2020","1,707.96","1,692.60","1,713.22","1,686.21","1.85B","0.14%"
"Oct 26, 2020","1,705.63","1,714.47","1,717.36","1,700.77","1.48B","-0.61%"
"Oct 22, 2020","1,716.16","1,716.16","1,733.38","1,700.18","2.37B","-0.24%"
"Oct 21, 2020","1,720.22","1,720.60","1,728.76","1,710.42","2.15B","0.60%"
"Oct 20, 2020","1,709.89","1,701.93","1,724.14","1,693.67","1.99B","0.11%"
"Oct 19, 2020","1,708.00","1,725.75","1,727.88","1,700.89","2.36B","-2.09%"
"Oct 16, 2020","1,744.39","1,761.68","1,765.95","1,733.52","2.17B","-0.74%"
"Oct 15, 2020","1,757.31","1,772.64","1,778.99","1,754.12","2.60B","-1.71%"
"Oct 14, 2020","1,787.92","1,797.64","1,800.42","1,777.70","2.35M","-1.00%"
"Oct 12, 2020","1,805.96","1,800.14","1,813.67","1,793.74","2.07M","0.50%"
"Oct 09, 2020","1,796.99","1,814.99","1,817.25","1,791.08","2.52B","-0.60%"
"Oct 08, 2020","1,807.76","1,801.80","1,820.90","1,798.03","3.35B","0.89%"
"Oct 07, 2020","1,791.88","1,764.96","1,793.18","1,759.40","2.43B","1.26%"
"Oct 06, 2020","1,769.60","1,771.57","1,780.04","1,765.46","2.61B","0.73%"
"Oct 05, 2020","1,756.81","1,760.52","1,765.63","1,749.13","1.75B","0.57%"
"Oct 02, 2020","1,746.91","1,763.51","1,764.96","1,737.49","2.29B","-1.24%"
"Oct 01, 2020","1,768.87","1,765.03","1,775.37","1,745.42","2.15B","0.92%"
"Sep 30, 2020","1,752.71","1,788.92","1,791.05","1,751.97","2.02B","-1.86%"
"Sep 29, 2020","1,785.99","1,803.62","1,805.23","1,780.56","1.66B","-0.67%"
"Sep 28, 2020","1,798.11","1,774.80","1,800.43","1,774.64","1.67B","1.90%"
"Sep 25, 2020","1,764.58","1,774.57","1,783.60","1,759.44","1.90B","-0.20%"
"Sep 24, 2020","1,768.11","1,784.38","1,791.41","1,759.95","2.51B","-1.72%"
"Sep 23, 2020","1,799.09","1,814.66","1,816.59","1,795.55","2.28B","-0.54%"
"Sep 22, 2020","1,808.85","1,817.17","1,823.01","1,800.74","1.80B","-0.83%"
"Sep 21, 2020","1,824.00","1,855.58","1,858.65","1,820.59","2.01B","-1.27%"
"Sep 18, 2020","1,847.55","1,847.44","1,855.52","1,834.63","2.50B","0.29%"
"Sep 17, 2020","1,842.24","1,849.75","1,854.63","1,835.01","2.34B","-0.84%"
"Sep 16, 2020","1,857.82","1,846.75","1,861.85","1,841.76","2.26B","0.65%"
