time,open,high,low,close,Basis,Upper,Lower,VWAP,Volume,Volume MA,TRIX,ATR
2017-08-17T00:00:00Z,301.13,312.18,298,302,NaN,NaN,NaN,304.06,7030.71034,NaN,NaN,NaN
2017-08-18T00:00:00Z,302,311.79,283.94,293.96,NaN,NaN,NaN,296.5633333,9537.84646,NaN,NaN,NaN
2017-08-19T00:00:00Z,293.96,299.9,278,290.91,NaN,NaN,NaN,289.6033333,2146.19773,NaN,NaN,NaN
2017-08-20T00:00:00Z,290.91,300.53,282.85,299.1,NaN,NaN,NaN,294.16,2510.13871,NaN,NaN,NaN
2017-08-21T00:00:00Z,299.1,346.52,294.6,323.29,NaN,NaN,NaN,321.47,5219.44542,NaN,NaN,NaN
2017-08-22T00:00:00Z,323.29,330.41,144.21,309.8,NaN,NaN,NaN,261.4733333,7956.35088,NaN,NaN,NaN
2017-08-23T00:00:00Z,312.25,324.99,309.41,315.74,NaN,NaN,NaN,316.7133333,8665.72569,NaN,NaN,NaN
2017-08-24T00:00:00Z,315.74,328.04,314.01,323.42,NaN,NaN,NaN,321.8233333,6753.27192,NaN,NaN,NaN
2017-08-25T00:00:00Z,323.42,338.28,323.42,327.24,NaN,NaN,NaN,329.6466667,7125.96962,NaN,NaN,NaN
2017-08-26T00:00:00Z,327.24,335.44,323.41,330.79,NaN,NaN,NaN,329.88,4877.68521,NaN,NaN,NaN
2017-08-27T00:00:00Z,332.18,348.13,330.73,348.13,NaN,NaN,NaN,342.33,4635.43715,NaN,NaN,NaN
2017-08-28T00:00:00Z,348.11,351,331.95,346,NaN,NaN,NaN,342.9833333,4279.1817,NaN,NaN,NaN
2017-08-29T00:00:00Z,346,377.6,346,374.7,NaN,NaN,NaN,366.1,3032.13425,NaN,NaN,NaN
2017-08-30T00:00:00Z,374.7,393.71,362.05,385.93,NaN,NaN,NaN,380.5633333,4446.59608,NaN,NaN,NaN
2017-08-31T00:00:00Z,384.64,389.36,377.78,384.79,NaN,NaN,NaN,383.9766667,4433.61656,NaN,NaN,NaN
2017-09-01T00:00:00Z,384.79,394.39,383.18,388.46,NaN,NaN,NaN,388.6766667,4198.68434,NaN,NaN,NaN
2017-09-02T00:00:00Z,388.46,394.32,320.08,343.14,NaN,NaN,NaN,352.5133333,8240.32724,NaN,NaN,NaN
2017-09-03T00:00:00Z,343.14,367.28,320.08,341.77,NaN,NaN,NaN,343.0433333,5253.62211,NaN,NaN,NaN
2017-09-04T00:00:00Z,341.77,344.55,267.94,283.77,NaN,NaN,NaN,298.7533333,6737.81061,NaN,NaN,NaN
2017-09-05T00:00:00Z,286.81,321.52,235.55,312.09,331.2515,394.7211549,267.7818451,289.72,8344.41924,5771.258563,NaN,39.1375
2017-09-06T00:00:00Z,313.29,336.34,312.09,335,332.9015,394.9433189,270.8596811,327.81,5486.30988,5694.03854,NaN,37.71964286
2017-09-07T00:00:00Z,335,342.5,320.17,334.49,334.928,394.3416101,275.5143899,332.3866667,3103.89745,5372.34109,NaN,36.25396259
2017-09-08T00:00:00Z,334.49,335.1,272,302.99,335.532,393.368045,277.695955,303.3633333,4915.75693,5510.81905,NaN,38.81072805
2017-09-09T00:00:00Z,302.99,307,281.66,296.74,335.414,393.5557074,277.2722926,295.1333333,2740.58822,5522.341525,NaN,37.52780157
2017-09-10T00:00:00Z,296.72,302.78,261.03,293.5,333.9245,394.6990185,273.1499815,285.77,4156.45099,5469.191804,NaN,37.92991571
2017-09-11T00:00:00Z,293.5,304.98,285.21,297.3,333.2995,395.2983072,271.3006928,295.83,4829.64647,5312.856583,NaN,36.20039993
2017-09-12T00:00:00Z,297.3,316.46,286.01,293.96,332.2105,396.1398396,268.2811604,298.81,5176.31402,5138.386,NaN,35.65274279
2017-09-13T00:00:00Z,293.96,294.5,257.05,276.91,329.885,398.1602015,261.6097985,276.1533333,6451.22836,5123.283821,NaN,35.82391014
2017-09-14T00:00:00Z,276.91,283.77,215,215.21,324.2835,408.927861,239.639139,237.9933333,12601.95676,5397.083178,NaN,38.96163299
2017-09-15T00:00:00Z,217,270.93,192,253,320.394,410.4603954,230.3276046,238.6433333,14223.8953,5864.393683,NaN,42.76814413
2017-09-16T00:00:00Z,255.99,271.81,235.51,249.31,315.453,409.6391536,221.2668464,252.21,10362.06011,6150.724831,NaN,42.1521304
2017-09-17T00:00:00Z,249.31,264.39,239.02,257.55,311.0305,407.3462575,214.7147425,253.6533333,4614.53337,6167.492415,NaN,40.55383227
2017-09-18T00:00:00Z,257.55,306.22,257.11,294.57,307.024,398.9802153,215.0677847,285.9666667,4125.97051,6222.184228,NaN,41.36870539
2017-09-19T00:00:00Z,294.57,300,277.41,284,301.9275,386.8559277,216.9990723,287.1366667,1869.90852,6093.34985,NaN,39.58025726
2017-09-20T00:00:00Z,284.01,294,275.91,282,296.788,373.0334082,220.5425918,283.97,1060.56734,5924.697389,NaN,37.53356609
2017-09-21T00:00:00Z,282,287,252.1,257,290.215,355.6092721,224.8207279,265.3666667,1912.55583,5810.390963,NaN,37.28275027
2017-09-22T00:00:00Z,257,272.97,253.01,264,286.258,347.8292071,224.6867929,263.3266667,1464.5125,5471.600226,NaN,35.63296453
2017-09-23T00:00:00Z,264,286.23,255.11,285.93,283.466,339.5332594,227.3987406,275.7566667,2824.33572,5350.135907,NaN,35.20315838
2017-09-24T00:00:00Z,285.93,294.61,275,282,283.3775,339.4481482,227.3068518,283.87,5575.54422,5292.022587,NaN,33.71809568
2017-09-25T00:00:00Z,282,299,281.34,294.42,282.494,337.2690047,227.7189953,291.5866667,5870.48035,5168.325642,NaN,32.18875324
2017-09-26T00:00:00Z,294.42,296.81,286.24,287.9,280.139,329.460253,230.817747,290.3166667,4566.92804,5122.35655,NaN,30.12982436
2017-09-27T00:00:00Z,289.91,313,286.13,309.74,278.9015,323.744537,234.058463,302.9566667,5518.10382,5243.066869,NaN,29.81936489
2017-09-28T00:00:00Z,309.74,311.81,296.89,302.44,278.874,323.6585506,234.0894494,303.7133333,6600.90922,5327.324483,NaN,28.40037776
2017-09-29T00:00:00Z,302.44,303,274,292.22,278.648,323.1141222,234.1818778,289.74,11089.19902,5744.755023,NaN,28.45748464
2017-09-30T00:00:00Z,292.62,307.49,292.22,304.36,279.191,324.6240456,233.7579544,301.3566667,4020.60795,5737.962871,NaN,27.20153372
2017-10-01T00:00:00Z,304.36,306,294,303.95,279.5235,325.5749262,233.4720738,301.3166667,5060.05758,5749.483427,NaN,25.75376861
2017-10-02T00:00:00Z,303.94,305,295,296.5,279.6505,325.8741643,233.4268357,298.8333333,3710.83747,5676.209599,NaN,24.25340969
2017-10-03T00:00:00Z,298.15,301.99,283.18,292.48,280.429,326.9652228,233.8927772,292.55,5546.85702,5630.991032,NaN,23.73498972
2017-10-04T00:00:00Z,292.47,297.97,288,291.99,284.268,320.082747,248.453253,292.6533333,4014.88792,5201.63759,NaN,22.42403832
2017-10-05T00:00:00Z,290,297.44,285.53,294.81,286.3585,319.4024787,253.3145213,292.5933333,3412.39016,4661.062333,NaN,21.42270134
